繁體	兼容格式	湯版頁碼	《阿拉宁波话》頁碼	朱版頁碼	釋義	備註	詞頻
跑碼頭個	bau mo deu goq	75					55
刨牙鬚	bau ngo su						
刨山粉	bau sae fen						
暴生	bau san	75	287		1. 初；剛剛；2. 偶爾		55
抱手	bau shieu	75	20		嬰兒		55
刨痧氣	bau so chi			266	刮痧		
跑單幫	bau tae paon	75					
刨黃瓜	bau waon kuo						
暴鹽	bau yi		190	466	短時間醃製	《阿拉宁波话》也作「暴醃」。	55
暴鹽帶魚	bau yi ta ng						
抱上轎	bau zaon jiau	75					55
暴時	bau zy	75	287	466	1. 初；剛剛；2. 偶爾		418
暴時種田	bau zy tson di						
暴時做世人	bau zy tsou shi gnin						
刨樹皮	bau zyu bi						
刨	bau2	75	156	168, 266	1. 用刀或其他器具刮物；2. 用指甲等鈍器刮物		
爮	bau2		156		1. 用刀或其他器具刮物；2. 用指甲等鈍器刮物		
鮑	bau4			434			
暴	bau6	75	287	466	1. 初；剛剛；2. 指醃製的時間短暫		
陪人客	bei gnin khaq	164					55
背陰	bei in	164					
被告	bei kau	164					
陪嫁	bei ko	164			嫁妝		
背老老	bei lau lau	164			1. 不合時宜；2. 糊塗；健忘；愛嘮叨（多指老年人）		55
培鈴車	bei lin tsho						
背書	bei syu	164					
背時背搭	bei zy bei taq	164	244		1. 不合時宜；2. 糊塗；健忘；愛嘮叨（多指老年人）		55
焙	bei6	164					
背	bei6	164	244	326	1. 不合時宜；2. 糊塗；健忘；愛嘮叨（多指老年人）		
盆頭	ben deu	249					55
坌地	ben di	249			用農具翻地		55
笨過笨足了	ben kou ben tsoq lei						
笨過笨足𡀂	ben kou ben tsoq lei						
笨勒阿姆阿伯勿認得	ben laq a m aq paq vaq gnin taq						
笨勒阿姆阿伯弗認得	ben laq a m aq paq vaq gnin taq						1
笨勒阿姆阿伯勿認得	ben laq an m aq paq vaq gnin taq						
笨勒阿姆阿伯弗認得	ben laq an m aq paq vaq gnin taq						1
笨勒嘸采去	ben laq mh tshe chi						
笨手笨腳	ben shieu ben ciaq						
盆子	ben tsy	249	99	266	盤子，盛菜餚或調味品的器皿，底平而淺。與普通話指「盆」不同。		
盆子菜	ben tsy tshe	249	72	266	塌棵菜，葉墨綠色，多皺摺，株矮，貼着地面向四周攤開，形似盆子，故名		55
坌橫頭	ben wan deu	249					55
盆浴	ben yuq	249					
笨賊佬	ben zaq lau	249	29	356	笨蛋		55
笨是介笨	ben zy ka ben						
坌	ben2	249	146	301	撥開（土、灰等爛泥）	《阿拉宁波话》作「捹」。《集韻》捹，蒲悶切，手亂皃。《廣韻》坌，蒲悶切，塵也，亦作坋。義均不合。	
盆	ben2	249					
皮襖	bi au	13					
皮袍子	bi bau tsy	13					55
坒坒聳	bi bi son						
枇杷	bi bo	14					
琵琶襟	bi bo cin	14					55
蹁腳	bi cian	14			一種腿病，走路時腳板歪斜		55
皮大衣	bi da i	13					
皮大王	bi da waon	13					55
皮蛋	bi dae	14					
皮蛋缸	bi dae kaon	14	99	81	一種腹大、兩頭略小的缸，形似皮蛋，故名		55
被頭	bi deu	14	91	329	被子		578
坒頭外	bi deu nga	14	11	149	在某一範圍之外		55
被頭擋	bi deu taon	14	91		被子橫頭所縫的布或毛巾，可隨時拆洗	朱版作「被頭檔」。	55
被頭㪗開	bi deu theu khe						
便田價	bi di ko	14					55
便田穀	bi di koq	14					55
便條紙	bi diau tsy	14					
便桶	bi don		93	264	大的糞桶，既是便器，又是農具		
被筒	bi don	15					55
便桶環	bi don guae						
便桶擔	bi don tae						
皮膚黑黢黢	bi fu haq tshyuq tshyuq						
皮膚極䪆	bi fu jiq thi						
皮膚曬勒紅煦煦	bi fu sa laq ghon shiu shiu						
皮膚粗剌柴	bi fu tshu la za						
皮鞋	bi gha	13					
皮鞋鋥亮	bi gha dzan lian						
皮鞋簇刮新	bi gha tshaq kuaq shin						
皮鞋油	bi gha yeu	13					
便宜	bi gni	14					
被甩	bi huaq	15	94	329	用來撣被子的竹製撣子		55
被花絮	bi huo shi	14			用棉花纖維做成的可以絮被褥的胎		55
皮影戲	bi in shi	14					
被櫃	bi jiu	14	91	329	放被子的大木櫃		55
便缸	bi kaon		83, 100		糞缸		55
皮夾	bi kaq	14	95	80	錢包，票夾子		
被夾裏	bi kaq li	15	91	329	被裏子		55
便客	bi khaq	14					55
被窠	bi khou	14	91	329	被窩		55
被窠熱烔烔	bi khou gniq don don						
皮老虎	bi lau fu	13					55
避漏	bi leu	15					55
肥料粉	bi liau fen	14					55
毗陵	bi lin						
毗陵小片	bi lin shiau phi						
皮帽	bi mau	13					55
被面	bi mi	14					
被面爿	bi mi bae	14					55
被面子	bi mi tsy	14					55
皮包	bi pau	13					
被鋪	bi phu	14	91	329	鋪蓋		55
皮箱	bi shian	14					
皮靴	bi shiu	13					
被單	bi tae	14			牀單		
便當	bi taon	14			方便；容易		
被擋頭	bi taon deu	14	91	329	被子橫頭所縫的布或毛巾，可隨時拆洗	朱版作「被檔頭」。	55
被笚	bi taq	15	94	329	用來撣被子的竹製撣子		55
蹁倒	bi tau	14	162	479	受力不平衡而傾倒		55
皮頓頓	bi ten ten	13	248	81	1. 形容小孩調皮；2. 形容小孩由於常受責罵而感到無所謂		55
被添	bi thi	14		329	牀單		418
緶貼紕	bi thiaq bi						
便菜便飯	bi tshe bi vae	14					55
皮榨榨	bi tso tso	13	248		1. 形容小孩調皮；2. 形容小孩由於常受責罵而感到無所謂		55
辮子	bi tsy	15					
皮子麪	bi tsy mi	13					55
辮子尾巴	bi tsy mi po	15					55
辮子尾巴	bi tsy ng po	15					55
被橫頭	bi wan deu	15					55
肥皂	bi zau	14			肥皂		
肥皂粉	bi zau fen	14	94	216	洗衣粉		
鐾自來火	bi zy le hou				劃火柴		
皮	bi2	13	248		（小孩）頑皮		
緶	bi2		160	416	用針縫		
肥	bi2	14	105	216	糞便；肥料		
脾	bi2	14					
蹁	bi2	14	162	479	1. 腳腕子扭傷；2. 走路時腳板歪斜		
便	bi6	14					
坒	bi6	14	120	149	量詞。排；列；層	《廣韻》坒，毗至切，地相次比也。本字爲「比」。《廣韻》比，毗至切，比次。	
鐾	bi6	15	151	503	1. 把刀在帆布、皮子、石頭、缸沿等處反覆摩擦使鋒利；2. 磨；擦		
瓢蟲	biau dzon	107					
瓢羹	biau kan			478			
瓢	biau2	107					
薸	biau2	108	116	484	浮萍		
嫖	biau4		141		用過分稱讚的話戲弄人		
呯嘭	bin ban				擬聲詞		
平耙	bin bo		103		耙的一種，裝有兩三排鐵齒，用來弄平泥土		55
平腳	bin ciaq	259					55
平腳橋	bin ciaq jiau						
平腳褲	bin ciaq khu	259					55
平腳板	bin ciaq pae	259					55
瓶頭	bin deu						
平地	bin di	259					
屏風馬	bin fon mo	259					55
平鑊蓋	bin ghoq ke	259	96	57	平的鍋蓋		55
平直	bin jiq	259					
瓶蓋頭	bin ke deu	259					55
平過	bin kou			57			
蘋果	bin kou	259			蘋果		
蘋果綠	bin kou loq	259					
平菇	bin ku	259	73	57	一種柄短、體大而平展的蕈		
病痼毒	bin ku doq	259	56	319	因久病而煩躁易怒	湯版作「病孤獨」。	55
病歷簿	bin liq bu						
平屋	bin oq	259					55
平輩	bin pei	259					
瓶塞頭	bin saq deu						
評書	bin syu	259					
平頂頭	bin tin deu	259					55
平準	bin tsyun	259	119	57	指用桿秤稱東西時稱得平或翹		
平房	bin vaon	259					
並無罪過	bin vu zei kou						
平話	bin wo		52		公道話		
並無罪過	bin wu- zei kou						
病字頭	bin zy deu	259					55
平	bin2	259					
瓶	bin2	259					
𨂅𨂅	biq biq		280	447	形容跳動併發出聲音的樣子		55
別別牢	biq biq lau						
𨂅𨂅跳	biq biq thiau	352			1. 形容不住地跳動的樣子；2. 形容受到驚嚇後心悸	湯版作「別別跳」。	55
蹩腳	biq ciaq	353					
蹩腳貨	biq ciaq hou	353					55
別針	biq cin	352					
笓地板	biq di pae						
別樣	biq gnian		39	159	其他		
別樣告	biq gnian kau		39	159	其他		578
別人家	biq gnin ko	352	39		別人		578
𧼱轎	biq jiau		163		原指兩個花轎爭先經過同一座橋或同一個路口，以求吉利。引申爲比高下。		55
𧼱競	biq jin		163		比賽；較勁		55
別苗頭	biq miau deu			159			
䀣眼火	biq ngae hou		322	302	用盡目力，仔細審視		55
別𡍲	biq taq	352					55
別采	biq tshe	352	5	159	別處		418
𧼱出	biq tshyuq	353	163	476	沒趕上		55
別轉	biq tsoe	352					
別烏蕩	biq u daon	352					
別烏頭	biq u deu	352	5	159			
別烏賽	biq u se						
別烏碎	biq u sei						
別烏湯	biq u thaon		5	159			
別烏態	biq u the	352	5	159			
別烏退	biq u thei						
別烏采	biq u tshe	352	5	159			55
別烏處	biq u tshyu						
𧼱勿着	biq vaq dzoq		163		1. 沒趕上；2. 爭取不到		
𧼱弗着	biq vaq dzoq				1. 沒趕上；2. 爭取不到		55
𧼱勿着	biq vaq zoq	353			1. 沒趕上；2. 爭取不到		
𧼱弗着	biq vaq zoq				1. 沒趕上；2. 爭取不到		55
別樣	biq yan	352	39	159	其他		
別樣告	biq yan kau	352	39	159	其他		578
鼻翼	biq yiq	352					
笓柴爿	biq za bae						
別十	biq zyuq	352	131	159	牌九中兩張牌的點子加起來是十點或二十點（不包括兩點加八點，十二點加八點）叫別十，這是最差的一副牌，引申爲徒勞、白搭、一場空		55
䀣	biq8	351	135	302	全神貫注地審視		
別	biq8	352	157		1. 把門關緊；2. 硬物互相碰撞、擠壓		
煏	biq8	353	213	438	用火烘或高溫使乾	《玉篇》煏，皮逼切，火乾也。湯版作「𤐧」。	
笓	biq8	352	143	310	依次緊密排列		
蹩	biq8	353	162	493	腳腕子扭傷		
𧼱	biq8	353	163	476	1. 追，趕；2. 比賽，較勁		
爬爬蟲	bo bo dzon						
爬起	bo chi	96	169	213	1. 起牀；2. （胃病等）出現、發作		
爬起爬到	bo chi bo tau						
爬起來	bo chi le	96					
耙田	bo di		194		用滾耙或平耙把田弄平		55
爬高吸低	bo kau shiq ti		333		爬上爬下		55
爬過牆	bo kou zhian						
䶕牙	bo ngo	96	37	396	上齒外露的人		55
耙背塔塔響	bo pei thaq thaq shian						
爬山頭	bo sae deu						
爬山挖嶺	bo sae uaq lin						
稗草	bo tshau	96	115	431	稗子		
爬上吸落	bo zaon shiq loq		333		爬上爬下		55
扒	bo2	96					
耙	bo2	96					
䶕	bo6	96	136	396	牙齒外露		
蓬頭散發	bon deu sae faq						
蓬頭獅	bon deu sy		36		子喻指頭髮蓬亂的人		55
蓬頭獅子	bon deu sy tsy						
蓬頭活鬼	bon deu waq ciu		36		子喻指頭髮蓬亂的人		55
嘣咚	bon don						
蓬蒿菜	bon hau tshe	283					55
塳灰	bon huei	283					55
塳塵	bon jin	283	133	335, 420	灰塵		55
嘣介	bon ka						
蓬草	bon tshau						
蓬柴	bon za						
篷	bon2	283	89	480	帆		
蓬	bon2	283	120, 168	422	1. 量詞。陣，股，叢；2. 量詞。垛；3. 量詞。把；4. 聚集；5. 垛；堆積；6. 名詞。垛子；7. 叢聚物		
薄薄個	boq boq kou	334					55
噗咚	boq don						
噗咚一跌𢲔	boq don iq tiq pae						
薄衣裳	boq i zaon						
薄舀舀	boq iau iau						
薄褲	boq khu						
伏勒睏	boq laq khuen	335			趴着睡覺		55
噗隆咚	boq lon don						
薄落頭	boq loq deu			499			
噗碌獨	boq loq doq						
薄落柱	boq loq dzyu			499			
伏倒	boq tau						
匐倒	boq tau						
薄刀	boq tau	334	98	477	菜刀		578
薄刀磨勩	boq tau mou yi						
薄刀劖人	boq tau zae gnin						
薄脆	boq tshei	334					
薄粥	boq tsoq	334					55
薄粥湯	boq tsoq thaon	334					55
雹子	boq tsy	334			冰雹		
薄耘耘	boq yun yun	334					55
伏	boq8	333	165	369	1. 趴；2. 撲；3. 身體向前衝	《阿拉宁波话》及朱版也作「匐」。	
薄	boq8	334	226	477	稀；水分多		
婆婆	bou bou	176	22	378	稱呼與祖母同輩的女子，也尊稱老年女子		
婆婆理	bou bou li						
縛縛煞煞	bou bou saq saq						
縛頭	bou deu		120		捆東西的繩子		55
薄荷	bou hou						
婆家	bou ko	176					
縛柴	bou za						
縛賊縛強盜	bou zaq bou jian dau						
縛	bou6	176	120, 150	442	1. 量詞。束；捆；2. 捆綁；3. 比喻纏住而不能自由行動		
伏蛋	bu dae				孵蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	55
孵蛋	bu dae	44			孵蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
埠頭	bu dei			338	江河岸邊鋪有石階或大石塊，可以靠船、洗東西的地方		
埠頭	bu deu	43	6	338	江河岸邊鋪有石階或大石塊，可以靠船、洗東西的地方		
伏豆芽	bu deu ngo	44	325	452	1. 將浸透的豆放在容器裏，蓋上草等以保溫，定時澆水，使發芽。；2. 比喻天冷時賴在被窩中不起牀	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	55
孵豆芽	bu deu ngo	44	325	452	1. 將浸透的豆放在容器裏，蓋上草等以保溫，定時澆水，使發芽。；2. 比喻天冷時賴在被窩中不起牀	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
埠頭黃鱔	bu deu waon yi						
蒲團	bu doe	44					
蒲鞋	bu gha	43					
伏秧子	bu ian tsy					首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	55
孵秧子	bu ian tsy	44				首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
蒲薺	bu ji	43	75		荸薺		578
蒲薺甜嫩嫩	bu ji di nen nen						
蒲薺扁榨榨	bu ji pi tso tso						
步鴣	bu ku	43	111	149	布穀鳥，模擬鳴聲而得名		55
篰籃	bu lae		106	492	一種孔眼較大的大竹籃	朱版作「𥳖籃」。	55
蒲帽	bu mau	43	56	423	草帽		55
蒲包	bu pau	43					
菩薩	bu saq	43					
菩薩幫忙	bu saq paon maon						
蒲扇	bu shi	43					
莆仙語	bu shi gniu						
莆仙話	bu shi wo						
伏小雞	bu shiau ci	44			孵蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	55
孵小雞	bu shiau ci	44			孵蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
蒲墩	bu ten	44					55
步梯	bu the			149			
伏胎蛋	bu the dae	44	110		孵化未成的蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	55
孵胎蛋	bu the dae	44	110		孵化未成的蛋	首字本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
步梯	bu thi			149			
蒲宗殼	bu tson khoq						
簿子	bu tsy				薄冊子，本子		
殕	bu4			395	食物上所生的白色黴菌	殕，《廣韻》芳武切，食上生白毛	
篰	bu4	44	106	492	1. 用篾條等編成的容器，比籮矮，孔較大；2. 量詞	湯版、朱版作「𥳖」。《說文》篰，㒼爰也。《集韻》𥳖，伴姥切，竹器。宜取 Unicode 基本區的「篰」。	
部	bu4	43	120	320	量詞。輛		
伏	bu6	44	204	112	1. 孵卵；2. 將浸透的豆、稻穀等放在容器裏使發芽	本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
孵	bu6	44	204		1. 孵卵；2. 將浸透的豆、稻穀等放在容器裏使發芽	本字爲「伏」，《廣韻》伏，扶富切，鳥菢子。也俗作「孵」。	
脯	bu6	43	210	345	1. 沙、土等受擠壓而往不同方向移動；2. 臉長得闊大，向外擴展		
蒲	bu6		73	395	瓠瓜，瓜圓形細長		
盤進	bun cin	246			把店鋪全部的貨物器具等買進		55
蟠桃	bun dau	247					
盤貨	bun hou	246			清點庫存		
𨒃幽貓	bun ieu mae				捉迷藏		
盤骨	bun kuaq	247			胯骨		55
盤麪	bun mi	246	62	33, 364	一種盤狀面		55
盤香紐	bun shian gnieu	246					55
伴小果	bun shiau kou		78		走訪親友時隨身攜帶的給小孩喫的零食		55
伴手果	bun shieu kou	247	78	163	走訪親友時隨身攜帶的給小孩喫的零食		55
拌沙灰	bun so huei						
盤算打過格	bun soe tan kou kaq						
盤出	bun tshyuq	247			把店鋪全部的貨物器具等轉讓給別人		55
盤纏	bun zoe	246			盤纏；路費		55
盤纏鈿	bun zoe di	246	125	364	盤纏；路費		55
盤	bun2	246		363	1. 盛放物品的淺底的瓷製或木質的器具；2. 量詞；3. 把貨物估個價一次性買進或賣出		
蹊蹺	chi chiau	29	229	317	不平直	據《漢語大詞典》「蹊蹺」含不平正之義。	55
蹊蹺瓦爿	chi chiau ngo bae						
起雞皮疙瘩	chi ci bi kaq taq	30					55
芡漿	chi cian		189	483	勾芡，煮菜時加人澱粉使變成糊狀		55
槧腳	chi ciaq	30			修腳		55
起腳	chi ciaq	30	186	290	廉價賣出或買進剩餘的貨物		
起九	chi cieu	30					55
氣緊	chi cin	31	55	38	1. 氣喘病；2. 動詞。氣喘		55
千真萬確	chi cin vae chiuq	29					
千針萬針	chi cin vae cin	29					55
氣急大呼	chi ciq da fu		246	39	氣喘吁吁		55
氣急大吼	chi ciq da heu			39	氣喘吁吁		
千軍萬馬	chi ciun vae mo	29					
起頭	chi deu	30	18	290	1. 剛纔；2. 開始；原來		
牽頭皮	chi deu bi	29	321	248	小孩做壞事而牽連到長輩受指責		55
氣頭言話	chi deu ghae wo		52		氣話		55
氣頭閒話	chi deu ghae wo		52		氣話		
起頭家	chi deu ko			290			
起頭落腳	chi deu loq ciaq		335	291	從開始到結束		55
起地㽘	chi di gaon						
千定萬定	chi din vae din	29	292	22	千萬；務必		55
籤筒	chi don	30					
欠大	chi dou				不夠大		
棲蟲	chi dzon	29	113	298	即孑孓，蚊子的幼蟲，多生活在死水中		55
千恩萬謝	chi en vae zhia		327	22	一再感謝		
起風	chi fon	30			颳風		
氣呼大呼	chi fu da fu		246		氣喘吁吁		55
起戇聲	chi gaon shin				變聲期，聲音變得粗糲如鵝叫		
千年藍扮	chi gni lae pae		287	22	偶爾；次數極少		55
千年瓦爿會翻身	chi gni ngo bae wei fae shin						
欺軟怕惡	chi gniu pho oq	29	338	389	欺軟怕硬		55
起黑心	chi haq shin		245	290	貪心；不知足		55
欠好看	chi hau khi-khe				不夠好看		
起吼頭	chi heu deu						
起貨	chi hou		186	290	賣掉貨物，也指沒（了）、過去（了）等		
欠其三百兩	chi ji sae paq lian						
遷就	chi jieu	30					
千揀萬揀	chi kae vae kae						
縴槓	chi kaon	30		133			55
氣概	chi ke	31					
欠夠	chi keu	30	225		不夠		55
溪坑	chi khan	29	6	439	溪		418
溪坑水	chi khan syu	29			溪水		55
溪口鎮	chi kheu tsyun	29			鎮名，在奉化		
牽空磨	chi khon mou		321		比喻白費力氣		55
起課算命	chi khou soe min						
起家	chi ko		18, 215	290	1. 剛纔；2. 開始；3. 原來		
千家萬戶	chi ko vae wu	29					
千過萬謝	chi kou vae zhia		328		一再感謝		55
槧光地栗	chi kuaon di liq						
氣勒過	chi laq kou	31					55
欺軟怕惡	chi li pho oq		338	389	欺軟怕硬		55
氣量	chi lian	31					
牽礱	chi lon	29			脫去稻穀穀殼		55
𥉻攏去	chi lon chi				（眼睛）眯起來		
氣門絕煞	chi men dzyuq saq	31					55
氣悶	chi mhen	31					
氣味	chi mi	31	277		氣味異樣、難聞		
氣味不剌	chi mi paq la				氣味異樣、難聞		
氣味不剌	chi mi paq laq				氣味異樣、難聞		
牽磨	chi mou	29					55
氣惱糟	chi nau tsau		178		氣惱；懊惱		55
氣耐勿牢	chi ne vaq lau	31					
氣耐弗牢	chi ne vaq lau						55
牽牛鼻頭	chi ngeu baq deu	29					55
起屋	chi oq	30	193		建造房屋		55
起畈	chi pae	30					55
千變萬化	chi pi vae huo	29					
千把個	chi po ghoq						55
